fpr,tpr,threshold
0.2544,0.6226851851851852,0.5010257959365845
0.2544,0.625,0.5000447034835815
0.256,0.625,0.49925100803375244
0.256,0.6296296296296297,0.49790000915527344
0.2576,0.6296296296296297,0.49777501821517944
0.2576,0.6319444444444444,0.4972558915615082
0.2592,0.6319444444444444,0.4967891573905945
0.2592,0.6342592592592593,0.49605056643486023
0.2624,0.6342592592592593,0.49365463852882385
0.2624,0.6365740740740741,0.4931870102882385
0.2656,0.6365740740740741,0.4920921325683594
0.2656,0.6412037037037037,0.4918547570705414
0.2672,0.6412037037037037,0.4914664030075073
0.2672,0.6481481481481481,0.4891870319843292
0.2784,0.6481481481481481,0.48523277044296265
0.2784,0.6527777777777778,0.48333683609962463
0.2816,0.6527777777777778,0.48242804408073425
0.2816,0.6550925925925926,0.48225918412208557
0.2848,0.6550925925925926,0.4806075394153595
0.2848,0.6574074074074074,0.48015663027763367
0.296,0.6574074074074074,0.47719645500183105
0.296,0.6620370370370371,0.4769253134727478
0.2992,0.6620370370370371,0.4766700565814972
0.2992,0.6643518518518519,0.4751124680042267
0.3008,0.6643518518518519,0.47485342621803284
0.3008,0.6666666666666666,0.47478005290031433
0.3088,0.6666666666666666,0.4729216396808624
0.3088,0.6712962962962963,0.4724743068218231
0.3152,0.6712962962962963,0.47058558464050293
0.3152,0.6759259259259259,0.4700779616832733
0.32,0.6759259259259259,0.46811404824256897
0.32,0.6805555555555556,0.4679599702358246
0.3296,0.6805555555555556,0.4651734232902527
0.3296,0.6851851851851852,0.46466970443725586
0.3376,0.6851851851851852,0.46197304129600525
0.3376,0.6898148148148148,0.4608149230480194
0.352,0.6898148148148148,0.4585731029510498
0.352,0.6944444444444444,0.45728448033332825
0.3552,0.6944444444444444,0.4561029076576233
0.3552,0.6967592592592593,0.4560837149620056
0.36,0.6967592592592593,0.4544893503189087
0.36,0.6990740740740741,0.4530676007270813
0.3616,0.6990740740740741,0.4527904689311981
0.3616,0.7013888888888888,0.45276424288749695
0.3648,0.7013888888888888,0.4522116482257843
0.3648,0.7037037037037037,0.4511726200580597
0.3696,0.7037037037037037,0.44994455575942993
0.3696,0.7060185185185185,0.4498203694820404
0.3744,0.7060185185185185,0.44855982065200806
0.3744,0.7106481481481481,0.44837433099746704
0.3776,0.7106481481481481,0.4478470981121063
0.3776,0.7129629629629629,0.4477250874042511
0.3792,0.7129629629629629,0.4473287761211395
0.3792,0.7152777777777778,0.4473245441913605
0.384,0.7152777777777778,0.4462989568710327
